# Sample AppDynamics Metrics Output
# Generated by GCP Pub/Sub Monitoring Extension

name=Custom Metrics|PubSub|Health|Collection Success, value=1
name=Custom Metrics|PubSub|Health|GCP Connectivity, value=1
name=Custom Metrics|PubSub|Health|Collection Errors, value=0
name=Custom Metrics|PubSub|Health|Collection Time, value=5

# Topic Metrics
name=Custom Metrics|PubSub|Topic|order-processing-topic|Status, value=1
name=Custom Metrics|PubSub|Topic|order-processing-topic|Subscription Count, value=3
name=Custom Metrics|PubSub|Topic|order-processing-topic|IAM Accessible, value=1
name=Custom Metrics|PubSub|Topic|inventory-updates-topic|Status, value=1
name=Custom Metrics|PubSub|Topic|inventory-updates-topic|Subscription Count, value=2

# Subscription Metrics
name=Custom Metrics|PubSub|Subscription|order-processor-sub|Status, value=1
name=Custom Metrics|PubSub|Subscription|order-processor-sub|Ack Deadline, value=60
name=Custom Metrics|PubSub|Subscription|order-processor-sub|Type, value=0
name=Custom Metrics|PubSub|Subscription|order-processor-sub|Dead Letter Enabled, value=1
name=Custom Metrics|PubSub|Subscription|order-processor-sub|Max Delivery Attempts, value=5
name=Custom Metrics|PubSub|Subscription|order-processor-sub|Retry Policy Enabled, value=1
name=Custom Metrics|PubSub|Subscription|order-processor-sub|Filter Enabled, value=0

name=Custom Metrics|PubSub|Subscription|inventory-sync-sub|Status, value=1
name=Custom Metrics|PubSub|Subscription|inventory-sync-sub|Ack Deadline, value=30
name=Custom Metrics|PubSub|Subscription|inventory-sync-sub|Type, value=1
name=Custom Metrics|PubSub|Subscription|inventory-sync-sub|Dead Letter Enabled, value=0

# Summary Metrics
name=Custom Metrics|PubSub|Topics|Total Configured, value=2
name=Custom Metrics|PubSub|Topics|Accessible, value=2
name=Custom Metrics|PubSub|Topics|Success Rate, value=100
name=Custom Metrics|PubSub|Topics|Total Subscriptions, value=5

name=Custom Metrics|PubSub|Subscriptions|Total Configured, value=3
name=Custom Metrics|PubSub|Subscriptions|Accessible, value=3
name=Custom Metrics|PubSub|Subscriptions|Push Type, value=1
name=Custom Metrics|PubSub|Subscriptions|Pull Type, value=2
name=Custom Metrics|PubSub|Subscriptions|Success Rate, value=100
name=Custom Metrics|PubSub|Subscriptions|Average Ack Deadline, value=50

# API Status
name=Custom Metrics|PubSub|API|PubSub Enabled, value=1
name=Custom Metrics|PubSub|API|Monitoring Enabled, value=1
name=Custom Metrics|PubSub|API|Can List Topics, value=1
name=Custom Metrics|PubSub|API|Can List Subscriptions, value=1
name=Custom Metrics|PubSub|API|Health Status, value=1

# Project Metrics
name=Custom Metrics|PubSub|Project|Total Topics, value=15
name=Custom Metrics|PubSub|Project|Total Subscriptions, value=28
name=Custom Metrics|PubSub|Project|ID Configured, value=1

# Custom Metrics (from deployment script)
name=Custom Metrics|PubSub|Custom|Messages Published Rate, value=45
name=Custom Metrics|PubSub|Custom|Average Message Size, value=512
name=Custom Metrics|PubSub|Custom|Batch Success Rate, value=98
name=Custom Metrics|PubSub|Custom|Entries Found, value=3
name=Custom Metrics|PubSub|Custom|File Age Minutes, value=2
